entry_time,exit_time,duration_min,direction,entry_price,exit_price,sl,tp,status,pnl
2024-01-05 09:15:00,2024-01-05 10:30:00,75.0,sell,1.09303,1.09108,1.09401,1.09108,won,0.00195
2024-01-05 09:00:00,2024-01-05 10:45:00,105.0,sell,1.09302,1.09095,1.09405,1.09095,won,0.00207
2024-01-05 14:00:00,2024-01-05 15:15:00,75.0,sell,1.09172,1.0922,1.0922,1.09076,lost,-0.00048
2024-01-05 14:15:00,2024-01-05 15:15:00,60.0,sell,1.09157,1.09219,1.09219,1.09033,lost,-0.00062
2024-01-05 14:30:00,2024-01-05 15:15:00,45.0,sell,1.09186,1.09227,1.09227,1.09104,lost,-0.00041
2024-01-05 14:45:00,2024-01-05 15:15:00,30.0,sell,1.09176,1.09239,1.09239,1.09049,lost,-0.00063
2024-01-05 15:00:00,2024-01-05 15:15:00,15.0,sell,1.09218,1.09248,1.09248,1.09157,lost,-0.0003
2024-01-05 08:15:00,2024-01-05 15:30:00,435.0,sell,1.09286,1.09001,1.09428,1.09001,won,0.00285
2024-01-05 08:30:00,2024-01-05 15:30:00,420.0,sell,1.09259,1.08919,1.09429,1.08919,won,0.0034
2024-01-05 08:45:00,2024-01-05 15:30:00,405.0,sell,1.09277,1.08974,1.09428,1.08974,won,0.00303
2024-01-05 09:30:00,2024-01-05 15:30:00,360.0,sell,1.09243,1.08925,1.09402,1.08925,won,0.00318
2024-01-05 09:45:00,2024-01-05 15:30:00,345.0,sell,1.09232,1.0889,1.09403,1.0889,won,0.00342
2024-01-05 10:00:00,2024-01-05 15:30:00,330.0,sell,1.09227,1.08874,1.09403,1.08874,won,0.00353
2024-01-05 11:15:00,2024-01-05 15:30:00,255.0,sell,1.09225,1.08949,1.09363,1.08949,won,0.00276
2024-01-05 11:30:00,2024-01-05 15:30:00,240.0,sell,1.09172,1.08784,1.09366,1.08784,won,0.00388
2024-01-05 13:30:00,2024-01-05 15:30:00,120.0,sell,1.09161,1.08812,1.09336,1.08812,won,0.00349
2024-01-05 15:15:00,2024-01-05 15:30:00,15.0,sell,1.09196,1.0897,1.09309,1.0897,won,0.00226
2024-01-05 15:30:00,2024-01-05 15:30:00,,sell,1.09172,1.08871,1.09322,1.08871,won,0.00301
2024-01-05 10:30:00,2024-01-05 16:00:00,330.0,sell,1.09113,1.09357,1.09357,1.08626,lost,-0.00244
2024-01-05 10:45:00,2024-01-05 16:00:00,315.0,sell,1.09077,1.09359,1.09359,1.08513,lost,-0.00282
2024-01-05 11:00:00,2024-01-05 16:00:00,300.0,sell,1.0915,1.09361,1.09361,1.08727,lost,-0.00211
2024-01-05 11:45:00,2024-01-05 16:00:00,255.0,sell,1.09125,1.09353,1.09353,1.08669,lost,-0.00228
2024-01-05 12:00:00,2024-01-05 16:00:00,240.0,sell,1.09103,1.09337,1.09337,1.08635,lost,-0.00234
2024-01-05 12:15:00,2024-01-05 16:00:00,225.0,sell,1.09048,1.09337,1.09337,1.0847,lost,-0.00289
2024-01-05 12:30:00,2024-01-05 16:00:00,210.0,sell,1.09099,1.09338,1.09338,1.08622,lost,-0.00239
2024-01-05 12:45:00,2024-01-05 16:00:00,195.0,sell,1.09127,1.09337,1.09337,1.08707,lost,-0.0021
2024-01-05 13:00:00,2024-01-05 16:00:00,180.0,sell,1.09116,1.09336,1.09336,1.08676,lost,-0.0022
